Text,Category
Changing the filter for your home s heating. ventilation and air conditioning system. or HVAC. is one of those tasks you probably forget to do as often as you should. Some people may even be unaware that they have an HVAC filter that needs to be changed. And it s a really important item to swap out.the University of Rochester Medical Center reportsSo as we trudge through a fall when flu. COVID-19 and RSV are all rampant. it s even more important to make sure your home is filled with fresh and clean air. Here s when you should change your HVAC filter and why it s so important to do so to help stop the spread of viruses.ndoor air quality is very important for [your] quality of life and health and well-being.  said Dr. Mark Loafman. a family medicine doctor at Cook County Health in Chicago.  And the filters we have on our HVAC systems are the prime and oftentimes the only source of air cleaning we have access to. Your air filter helps make sure the circulating air in your home is clean so your HVAC system isn t simply pushing through contaminated air over and over. This is particularly important during times of high virus spread ― like right now.We learned from COVID-19 that virus-containing droplets can hang in the air for a long time. Loafman noted. This makes it all the more important to think about the quality of the air we re breathing. whether that is at home. at a restaurant or on an airplane.An HVAC filter can help pull those droplets from the air before infecting someone else. Loafman said. although he cautioned that people should also take other precautions to prevent the spread of viruses.In order for your HVAC filter to clean the air properly. you need to make sure the filters aren t full of already-collected particles and dust.according to the United States Environmental Protection AgencyThe higher a filter s MERV rating. the smaller the particles it can catch. Filters can catch particles that are between 0.3 and 10 microns. according to the EPA.2 microns in sizeas the minimum rating for home usethe EPA The better the filter. the quicker it s going to clog and need to be changed.  Loafman said.  Erring on the side of more frequent as opposed to less frequent changing is a good idea. You ll quickly be able to tell what a dirty HVAC filter looks like — it s generally covered in dust. hair and is brown in color. Unused HVAC filters are white.Changing your HVAC filter is only one piece of the virus-prevention puzzle.  These are not a replacement for the other strategies.  Loafman said. You still need to make sure you are up-to-date on vaccinations for the flu and COVID-19. wash your hands. isolate if you re sick and wear a mask in crowded spaces. ,Health News
NASHVILLE. Tenn. (AP) — Tennessee s strict abortion ban does not apply to the disposal of fertilized human embryos that haven t been transferred to a uterus. according to a recent state attorney general opinion.The determination is among the first issued by an attorney general that provides insight on how laws heavily restricting abortion affect those seeking in vitro fertilization. or IVF. since the U.S. Supreme Court overturned the constitutional right to abortion. Disposing of an embryo that was created outside a woman s body and that has never been transferred to a woman s body thus does not qualify as ‘abortion.   Jonathan Skrmetti wrote in his opinion.The two-page document was quietly published on the attorney general s website on Oct. 20 at the request of Tennessee s Senate Majority Leader Jack Johnson. a Republican currently seeking reelection.Tennessee s lawtrigger law While I felt that the law was clear and that it did not apply to this particular case and others like it. I was more than happy to ask the Attorney General for his opinion to clear up any perceived misunderstandings in the law and was pleased that the Attorney General arrived at the same conclusion.  Johnson said.While Skrmetti s opinion clarifies the disposal of unused embryos. it remains unclear if the law applies to the selective reduction process sometimes used to remove a fetus from a woman s womb if fertility treatments result in multiple pregnancies.A spokesperson for the attorney general s office did not immediately respond to comment Friday.Earlier this year. a Tennessee woman went viral after publishing a video detailing an emailed back-and-forth conversation with Republican state Rep. Ryan Williams over the disposal of human embryos.Williams initially wrote that  life does begin at conception either in the womb or in the IVF clinic.  and that doctors who discard those embryos would be a violation of state law — a punishment that carries a felony conviction and $10.000 fine.Williams told The Associated Press he has since met with several attorneys and now says his interpretation of the law was incorrect.He provided an email showing that he emailed the woman back to  extend his sincerest apologies  surrounding his original response.,Health News
Work long enough. and you ll eventually face the common pressure to work longer hours and get more done.richest manTwitterMuskCNBCabout 80 sustainedstudyfoundsurveyedBut according to science. there s a clear point of diminishing returns at which working extra hours won t actually make a difference at your job but will certainly wreak long-term damage on your body. actuallyWorking too long can be a serious. and sometimes even fatal. health hazard.study Long working hours can directly cause a cardiovascular disease event by increasing stress that damages cells in the brain and the heart.  Frank Pega. a WHO technical officer and the lead author of the paper. told HuffPost.  They can also indirectly cause such disease events by triggering risky behavioral responses. such as less physical exercise. a less nutritious diet. or less sleeping time. His advice to those stuck working more than 40 hours a week? Organize with your co-workers and management for better working conditions. Workers and employers can enshrine healthy working hours in collective bargaining agreements.  Pega said.  Workers. governments and employers also all have a role to play in monitoring working hours against adherence to healthy limits. Working long hours also puts you at a greater risk of getting physically hurt while working.studyWhen you keep sacrificing your need to rest in order to keep working. it can take a toll on your psyche. studyWhen you re staying up late to meet a boss  deadline. your sleep pays the price.concludedfoundThe fact is. working longer hours doesn t lead to better work.five-year surveywroteconcludedconcludedThe bottom line for businesses? Asking an employee to work longer does not necessarily lead to better results. But it will certainly risk their health.,Health News
AUSTIN. Texas (AP) — A Texas doctor said Thursday he is working with state police to determine whether any of the 21 people killed in the Uvalde school shooting could have been saved had medical help arrived sooner.The review of autopsies and other records is part of a criminal investigation by Texas Rangers into the hesitant police response at Robb Elementary School in May. said Dr. Mark Escott. who serves as the city of Austin s chief medical officer.nearly 400 law enforcement officersEscott said he asked the Texas Department of Public Safety to do the review. which he described as in line with steps taken following other mass shootings in the U.S. We expect that we will find some lessons learned that can be applied to policy around the country.  Escott said.was first reported by the Austin American-StatesmanIt was not clear how much the findings will impact the state s criminal investigation. The Texas Department of Public Safety did not immediately return a message seeking comment Thursday.Escott said the the review could take between three and six months and expressed hoped that the results will quickly be made public. Four other physicians who are EMS and trauma specialists. along with other expert advisors. will also help in the review. Escott said.He said the review will look at autopsy reports and medical records from hospitals and paramedics who treated the victims. Among the questions. Escott said. is whether victims could have survived if they had received first response help within 10 minutes and arrived at a trauma center within an hour. The challenge we have in Uvalde is it is a small community and there are limited EMS resources and the closest level 1 or level 2 trauma center is 90 minutes away.  he said.Last week. Col. Steve McCraw. Texas  state police chief. said the criminal investigation into the police response to the shooting led by Texas Rangers would be wrapped up by the end of the year and turned over to prosecutors. He didn t indicate whether charges would be recommended against any officers. did not fail  Uvalde,Health News
INDIANAPOLIS (AP) — An Indianapolis doctor who performed an abortion on a 10-year-old rape victim from Ohio is suing Indiana s attorney general. seeking to block him from using allegedly  frivolous  consumer complaints to issue subpoenas seeking patients  confidential medical records.The lawsuit targeting Attorney General Todd Rokita was filed Thursday in Marion County on behalf of Dr. Caitlin Bernard. an Indianapolis obstetrician-gynecologist. her medical partner. Dr. Amy Caldwell. and their patients.It alleges that Rokita has issued subpoenas seeking the medical records of patients based on complaints from people who have never been a patient of either Bernard or Caldwell and  who lack any personal knowledge of the alleged circumstances giving rise to the complaints. The suit contends that Rokita has  completely ignored  a state requirement that his office first determine that consumer complaints have  merit  before he can investigate physicians and other licensed professionals and that his conduct  violates numerous Indiana statutes.  The Attorney General has wholly ignored the General Assembly s fine-tuned structure for handling consumer complaints regarding licensed professionals and has engaged in precisely the type of overbearing. harassing conduct that the General Assembly sought to prohibit.  the suit states.she gave an interview to The Indianapolis Star about the 10-year-old girlU.S. Supreme Court overturned Roe v. Wade27-year-old man was chargedmet with skepticism by some news outlets and Republican politiciansFox Newssaid his office would look intoRecords obtained by The Associated Press and local news outlets show Bernard submitted her report about the girl s abortion July 2. which is within Indiana s required three-day reporting period for an abortion performed on a girl younger than 16.Bernard s lawsuit asks a court to issue temporary and permanent injunctions to block Rokita from starting or conducting an investigation of a consumer complaint  without first making an initial determination that the consumer complaint has merit. It also seeks such injunctions to block him from issuing subpoenas related to an investigation based on a consumer complaint  without first making a valid and proper determination that the consumer complaint has merit.  and to prevent Rokita from  violating confidentiality provisions imposed by law. The suit names as defendants Rokita and Scott Barnhart. the chief counsel of the state attorney general s office and also director of its office of consumer protection.It alleges that the  improper conduct  by Rokita and Barnhart  threatens patients seeking legal abortions that their most personal and private medical records and health care decisions could be exposed as part of a meritless investigation. Rokita s press secretary. Kelly Stevenson. said Thursday in response to a request for comment on the lawsuit that the attorney general s office investigates  thousands of potential licensing. privacy. and other violations a year.  A majority of the complaints we receive are. in fact. from nonpatients. Any investigations that arise as a result of potential violations are handled in a uniform manner and narrowly focused.  she added in a statement.July court filing that she planned to suecease and desist letter,Health News
Monkeypoxreport presentedThe committee agreed that there has been progress in lowering cases but that transmission remains high in certain regions. and there s  an emerging potential for greater health impact in vulnerable populations.  The number of reported cases has dropped for eight straight weeks. This is very encouraging.  WHO Director-General Tedros Adhanom Ghebreyesus told the committee late last month ahead of the report s release.  But progress in the Americas is less certain. and this region accounted for almost 90% of cases reported last week. Several countries are still entering the peak phase of the outbreak. and there is likely to be under reporting in others. gradually dropping This drop in cases has been attributed to an abundance of vaccine supplies and educational outreach changing sexual behavior among those who are at higher risk of infection. The outbreak has been largely contained among sexually active men who have sex with multiple male partners. according to public health officials. A recent surveyaccording to the CDCexpected to have seven million vialsrising among minoritiesroughly 44% of monkeypox cases disproportional vaccine ratesbriefing last month,Health News
toll of opioidsTogether. the developments amount to what could be the last round of huge settlements after years of litigation over the drug industry s role in an overdose crisis that has been linked to more than 500.000 deaths in the U.S. over the past two decades.In the lawsuits. governments said pharmacies filled prescriptions they should have flagged as inappropriate.The deals call for most of the funds from Woonsocket. Rhode Island-based CVS and Deerfield. Illinois-based Walgreens to be used to fight the opioid crisis through such efforts as expanding treatment and support programs for people with addiction. along with providing overdose antidotes and launching prevention efforts.In a conference call with analysts Wednesday. CVS Health CEO Karen Lynch said the deal sprang from mediation discussions that started last month.Under the tentative plans. CVS would pay $4.9 billion to local governments and about $130 million to Native American tribes over a decade. Walgreens would pay $4.8 billion to governments and $155 million to tribes over 15 years. The exact amount depends on how many governments join the deals.CVS announced its plan along with an earnings report Wednesday. and Walgreens made an SEC filing with some details. We are pleased to resolve these longstanding claims and putting them behind us is in the best interest of all parties. as well as our customers. colleagues and shareholders.  Thomas Moriarty. CVS chief policy officer and general counsel. said in a statement.  We are committed to working with states. municipalities and tribes. and will continue our own important initiatives to help reduce the illegitimate use of prescription opioids. The companies noted they have have launched educational programs and installed safe disposal units for drugs in stores and police departments. among other measures designed to reduce misuse of opioids. As one of the largest pharmacy chains in the nation. we remain committed to being a part of the solution. and this settlement framework will allow us to keep our focus on the health and wellbeing of our customers and patients. while making positive contributions to address the opioid crisis.  Walgreens said in a statement.Neither CVS nor Walgreens is admitting wrongdoing.Paul Geller. a lawyer for governments in the lawsuits. said talks with Walmart continue. Walmart representatives would not comment Wednesday. These agreements will be the first resolutions reached with pharmacy chains and will equip communities across the country with the much-needed tools to fight back against this epidemic and bring about tangible. positive change.  lawyers for local governments said in a statement.  In addition to payments totaling billions of dollars. these companies have committed to making significant improvements to their dispensing practices to help reduce addiction moving forward. finalized and completed settlements One by one. we are holding every player in the addiction industry accountable for the millions of lives lost or devastated by the opioid epidemic.  Connecticut Attorney General William Tong said in a statement.  The companies that helped to create and fuel this crisis must commit to changing their businesses practices. and to providing the resources needed for treatment. prevention and recovery. Most of the nation s opioid overdose deaths initially involved prescription drugs. As governments. doctors and companies took steps to make them harder to abuse and obtain. people addicted to them increasingly switched to heroin. which proved more deadly.fentanylThe settlements were announced as litigation over the role of pharmacies in the opioid crisis has ramped up. On Tuesday. 18 companies — most of them pharmacy-related — submitted reports to a judge overseeing opioid litigation detailing where they face lawsuits.AmerisourceBergen. Cardinal Health and McKessonproposed settlement___Associated Press writer Tom Murphy in Indianapolis contributed to this report.,Health News
abortionThe study. which waspublished Tuesday in the Journal of the American Medical Association. analyzed requests for medication abortion across 30 Republican-leaning states using data from Aid Access. an Austria-based telemedicine service that mails abortion pills to people in the U.S.Researchers found that requests for the pills ― already the most common abortion method in the U.S. ― went from an average of 83 per day to 137 per day after the court s draft decision on abortion access was leaked to the public in May. In the two months after the court released its formal decision in June. those requests averaged around 214 per day. Every state. regardless of abortion policy. showed a higher request rate during the periods after the leak and after the formal decision announcement. with the largest increases observed in states enacting total bans.  the researchers found. with Louisiana. Mississippi. Arkansas. Alabama and Oklahoma seeing the biggest upticks. In states that enacted total abortion bans. patients overwhelmingly said they were seeking out medication abortion because of laws stopping them from terminating pregnancies. Sixty-two percent of patients who requested abortion pills after the court s decision cited  current abortion restrictions  as their reason for needing them. compared to 31% before the leak.as abortion providers warned would happenRequests for medication abortion have skyrocketed even though many states have made it illegal to provide them. But Aid Access has been able to circumvent this. The group uses only doctors in Europe to provide virtual abortion care for patients in states that ban the pills. and those doctors face little legal risk for violating a U.S. state law from outside the country. U.S. patients can receive the pills in one to three weeks for about $100.state laws against medication abortion61 cases,Health News
There s an old saying that adversity makes you stronger. Real life shows that s not always true. but the adage highlights an evolving debate among scientists about resilience.After traumatic events and crises such as child abuse. gun violence or a pandemic. what explains why some people bounce back. while others struggle to cope? Is it nature — genes and other inherent traits? Or nurture — life experiences and social interactions?Decades of research suggest both play a role. but that neither seals a person s fate.Although scientists use different definitions. resilience generally refers to the ability to handle severe stress.Association.researchScientists have conducted numerous studies trying to answer why some kids are more vulnerable to those experiences than others.California pediatrician and researcher Dr. Thomas Boyce decided to dig deeper into that question because of his own family history. He and his sister. who is two years younger. were extremely close amid sometimes turbulent family circumstances. As they grew into adulthood. Boyce s life seemed blessed by good luck. while his sister sank into hardship and mental illness.In laboratory tests. Boyce found that about 1 in 5 kids have elevated biological responses to stress. He found signs of hyperactivity in their brains  fight-or-flight response and in their stress hormones. Real-world evidence showed kids like these have higher rates of physical and mental troubles when raised in stressful family situations. But evidence also shows these hyper-sensitive kids can thrive with nurturing. supportive parenting. Boyce says.Ananda Amstadter. who studies traumatic stress and genetics at Virginia Commonwealth University. said her research suggests that stress resilience is roughly half influenced by genes and half by environmental factors. But she emphasized that many genes are likely involved. there is no single  resilience gene.″In other studies. Duke University researchers Terrie Moffitt and Avshalom Caspi have linked variations in genes that help regulate mood with increased risks for depression or antisocial behavior in kids who experienced child abuse or neglect.But  genes are not destiny.  says Dr. Dennis Charney. academic affairs president at Mount Sinai Health System in New York. who has studied ways to overcome adversity.Trauma can affect the development of key brain systems that regulate anxiety and fear. Psychotherapy and psychiatric medication can sometimes help people who ve experienced severe trauma and hardship. And Charney said a loving family. a strong network of friends and positive experiences in school can help counterbalance the ill effects.With an early childhood in Haiti marked by poverty and other trauma. 19-year-old Steeve Biondolillo seems to have beat long odds.His desperate parents sent him at age 4 to an orphanage. where he lived for three years. I didn t really understand what was happening.  he recalls.  I just got thrown into a big house full of other kids.   He remembers feeling frightened and abandoned. certain he d live there forever.An American couple visited the orphanage and made plans to adopt him and a younger brother. But then came Haiti s devastating 2010 earthquake. which killed more than 100.000 and decimated Haiti s capital and nearby towns. All the hope that I had suddenly vanished.  Biondolillo said.Ultimately. the adoption went through. and the family eventually moved to Idaho. Biondolillo s new life gave him opportunities he never dreamed of. but he says he was still haunted by  the baggage and trauma that I had from Haiti. His adoptive parents got him involved in a local Boys & Girls club. a place where he and his brother could go after school just to be kids and have fun. Biondolillo says supportive adults there gave him space to talk about his life. so different from the other kids.  and helped him feel welcomed and loved.Now a college sophomore majoring in social work. he envisions a career working with the needy. helping to give back and nurture others.It has been a journey. he says. from  scared little kid to me. proud young man with big goals and a big future. ___Follow AP Medical Writer Lindsey Tanner at @LindseyTanner.___The Associated Press Health and Science Department receives support from the Howard Hughes Medical Institute s Department of Science Education. The AP is solely responsible for all content.,Health News
After the debate between Pennsylvania Senate candidates John Fetterman and Dr. Mehmet Oz. I felt a crushing disappointment. Rather than analysis of the positions each candidate took. article after article I read scrutinized Fetterman s oral delivery. Fetterman suffered a stroke in May and is in the process of recovering. part of what he s recovering is a more seamless ability to listen and speak with the same speed that he used to. As someone who sometimes experiences auditory processing delays and has trouble finding the right word quickly. I saw a little of myself reflected in Fetterman. This reaction from pundits and the public alike is dismal at best. and alarming at worst: These traits are not a marker of cognition. and to treat them as such reflects not only a lack of compassion. but a deep misunderstanding.I had my first experience of struggling with language three years ago. when I was 34. One October morning. I woke up on my couch surrounded by EMTs hoisting me out of my home and into an ambulance. I had just had my first seizure. They asked me a series of questions to help evaluate my state of awareness: the date. my name. my address. These were easy questions. I had no trouble coming up with the answers. The issue was being able to dig out the words for the answers. Once I figured out the right words. the next step was being able to speak them. The lag between knowing and saying was so frustrating that it upset me more than the seizure itself. After several hours at the hospital investigating my health. I was released out into the world. relieved to feel more like myself.A few weeks later. I had another seizure. which would eventually cement my epilepsy diagnosis. Much like strokes. there is a vast spectrum of the impact epilepsy can have on someone s life. In my own case. I am fortunate that very little changed with my diagnosis. except sometimes I still experience a delay in being able to process speech. I don t experience this to the degree that Fetterman does. But often a word I want will evade me as I try to catch it like a cat swatting at a string just out of reach. Recently. I was searching for a particular word. frowning as I attempted to locate it.  You know. more attention. Watched. Watched more. When you re observing something. Uh. When you re looking at with a lot of focus. Um ...   My husband gently chimed in with  supervision?  I was both relieved and exhausted. As a writer and an English professor. I have built my life around language. I have read my poetry aloud at many events. and spend hours a week speaking in front of students and parsing their questions in real time. It is both a personal and professional identity. Like Fetterman. I sometimes  mush two words together.  as he says. I will jump into a new sentence in the middle of the first one. because the better. more precise way to articulate it will suddenly surface. I cannot speak for Fetterman. but this is an incredibly vulnerable feeling to have ― knowing that I m being judged and misperceived in public on a regular basis. I am never sure if I should disclose this feature about myself. because it s not as conspicuous for me: just enough to get some smirks and raised eyebrows. or for people nearby to give each other a quick glance as if to confirm with the other that there is something  off  about me.Should I consider myself lucky that I m not forced to announce this facet of myself or my medical record in order to defend my competency? It certainly makes some things easier. In holding back how my epilepsy sometimes affects my speech and audio processing. I am just as guilty of perpetuating it as something shameful. And yet. this is not just about me ― or about Fetterman. According to the CDC. it is estimated that 3.4 million people have epilepsy in the U.S.. and that every 40 seconds someone in the U.S. has a stroke. Not everyone experiences these medical conditions in the same way. but I am willing to bet that many other conditions also impact speech and audio processing. This is a lot of people to alienate. and it s condescending to assume that none of them would be fit to serve in public office or other types of leadership roles solely because of it.As a resident of Pennsylvania. I ve been a fan of Fetterman for quite some time. long before his stroke. and well before his campaign for Senate. I am drawn to what I believe is his sincere commitment to the forgotten communities he often references. My epilepsy has made me more aware that there are many ways beyond the obvious to be forgotten. or left behind in the sense that the world moves along without knowing or understanding certain parts of you. I m not interested in telling anyone how they should cast their vote. but I will say that someone s struggles with auditory processing or speaking have nothing to do with their ability to be an incredible leader. and these prejudices should be left outside the voting booth. I am hopeful that voters and the media will take the time to pay attention. and carefully listen to what s truly at stake in this election — even if the act of listening can be hard. and can take a lot of work.Lisa Mangini is the author of five collections of poetry and short fiction. Some of her work can be found in McSweeney s. Ms. Magazine. Mid-American Review. The American Journal of Nursing and elsewhere. She is the founding editor of Paper Nautilus Press. and teaches writing at Penn State.Do you have a compelling personal story you d like to see published on HuffPost? Find out what we re looking for here and send us a pitch.,Health News
